id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;;;-2220.0;-16964.0;-916.0;-3792.0;-425.0;-151.0;0
1;;;-1628.0;-16892.0;-1804.0;-3776.0;-483.0;24.0;103
2;;;-1604.0;-16896.0;-1104.0;-3776.0;-222.0;283.0;207
3;;;-1852.0;-17032.0;-1416.0;-3760.0;-280.0;-264.0;309
4;;;-996.0;-16808.0;-1656.0;-3824.0;-28.0;488.0;413
5;;;-1476.0;-17352.0;-1368.0;-3776.0;-632.0;-781.0;516
6;;;-268.0;-17848.0;368.0;-3776.0;-66.0;150.0;620
7;;;-6268.0;-17312.0;-468.0;-3776.0;-1182.0;610.0;722
8;;;-5256.0;-15976.0;-736.0;-3776.0;-2728.0;-2667.0;825
9;;;-32768.0;4188.0;-3336.0;-3776.0;-12318.0;-2777.0;929
10;;;32767.0;32767.0;-12308.0;-3776.0;17920.0;13573.0;1032
11;;;32352.0;1068.0;14552.0;-3744.0;9497.0;-2085.0;1135
12;;;17816.0;-11948.0;700.0;-3776.0;-9581.0;-5957.0;1238
13;;;32767.0;-31472.0;-25092.0;-3792.0;-10779.0;1722.0;1341
14;;;1832.0;-28480.0;3308.0;-3776.0;4818.0;7291.0;1445
15;;;2764.0;-4412.0;14424.0;-3760.0;4281.0;13652.0;1548
16;;;32767.0;32767.0;-32768.0;-3792.0;-1702.0;-16931.0;1651
17;;;-4640.0;8368.0;3196.0;-3760.0;856.0;3367.0;1754
18;;;7848.0;-27876.0;-5384.0;-3776.0;-5064.0;-5858.0;1858
19;;;23188.0;-32768.0;6488.0;-3776.0;6186.0;-9804.0;1961
20;;;-9272.0;-24748.0;21040.0;-3776.0;-4181.0;-8046.0;2064
21;;;32767.0;32767.0;8136.0;-3744.0;1217.0;12612.0;2167
22;;;-3708.0;10152.0;32767.0;-3808.0;17700.0;12350.0;2270
23;;;17660.0;2040.0;-588.0;-3776.0;1051.0;-2699.0;2374
24;;;21244.0;-3496.0;1088.0;-3760.0;163.0;-2218.0;2477
