id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;;;9128.0;-14272.0;3056.0;-1472.0;-1234.0;1499.0;0
1;;;8648.0;-14384.0;2580.0;-1488.0;-3003.0;2595.0;103
2;;;15172.0;-13724.0;368.0;-1440.0;-518.0;2399.0;207
3;;;7300.0;-11672.0;-2020.0;-1440.0;1210.0;7730.0;309
4;;;-17784.0;-9168.0;4964.0;-1440.0;-7015.0;-1186.0;413
5;;;15976.0;-3328.0;-6660.0;-1488.0;-3606.0;-2145.0;516
6;;;17328.0;-4484.0;-6600.0;-1472.0;-2030.0;-1319.0;619
7;;;22628.0;-5820.0;-2764.0;-1456.0;-3567.0;-3116.0;722
8;;;27172.0;-7260.0;-1512.0;-1472.0;-2481.0;1351.0;825
9;;;32767.0;-5632.0;-4200.0;-1440.0;9028.0;3185.0;929
10;;;-15344.0;1192.0;10328.0;-1424.0;6198.0;9411.0;1032
11;;;-17008.0;-2428.0;5352.0;-1440.0;2757.0;10496.0;1134
12;;;7416.0;-10184.0;816.0;-1456.0;-10116.0;-9931.0;1238
13;;;23632.0;-11792.0;-8696.0;-1408.0;-12641.0;-2303.0;1341
14;;;16032.0;-4300.0;-32768.0;-1440.0;9070.0;3235.0;1445
15;;;9084.0;5356.0;-4628.0;-1456.0;32767.0;-2960.0;1547
16;;;2436.0;1032.0;20744.0;-1440.0;32681.0;-10432.0;1651
17;;;27012.0;-6952.0;32767.0;-1440.0;-11155.0;-6127.0;1754
18;;;10796.0;8100.0;14332.0;-1456.0;-32768.0;-5998.0;1857
19;;;6720.0;5860.0;-32768.0;-1424.0;-32768.0;7977.0;1960
20;;;10048.0;-5024.0;-32768.0;-1472.0;2776.0;10317.0;2063
21;;;30964.0;-17476.0;2580.0;-1456.0;7896.0;7861.0;2167
22;;;32767.0;-3584.0;-13132.0;-1424.0;3675.0;18063.0;2270
23;;;-14376.0;4616.0;-18776.0;-1440.0;21579.0;2353.0;2372
24;;;-7816.0;2752.0;28620.0;-1440.0;26212.0;-4076.0;2476
25;;;5936.0;-10120.0;32767.0;-1456.0;-13041.0;-6306.0;2579
26;;;32767.0;-10160.0;11656.0;-1424.0;-29805.0;2802.0;2683
27;;;24868.0;-1052.0;-32768.0;-1472.0;-854.0;-138.0;2785
28;;;-20500.0;10868.0;13568.0;-1456.0;32767.0;-1532.0;2889
29;;;10092.0;-13532.0;32767.0;-1456.0;20.0;-11195.0;2992
30;;;32440.0;-16620.0;-8040.0;-1440.0;-20036.0;-6523.0;3095
31;;;-5816.0;-10692.0;-2072.0;-1456.0;-7782.0;-3409.0;3198
32;;;-6664.0;-3996.0;-7384.0;-1440.0;-9983.0;-116.0;3301
33;;;27856.0;-6144.0;-4452.0;-1440.0;-3565.0;-1031.0;3405
34;;;16792.0;-11960.0;-1320.0;-1456.0;-1620.0;270.0;3508
35;;;25448.0;-10296.0;420.0;-1440.0;1673.0;618.0;3610
36;;;29716.0;-5316.0;1632.0;-1424.0;5580.0;4099.0;3714
37;;;8136.0;656.0;1416.0;-1472.0;9927.0;4246.0;3817
38;;;-16628.0;-7876.0;8288.0;-1424.0;9987.0;3457.0;3920
39;;;-12112.0;-15888.0;12936.0;-1440.0;-1130.0;-6585.0;4023
40;;;300.0;-17964.0;16924.0;-1456.0;-4935.0;-1823.0;4127
41;;;9632.0;-14880.0;1500.0;-1472.0;-7138.0;-5185.0;4230
42;;;8592.0;-14916.0;2840.0;-1440.0;-3042.0;-2435.0;4332
43;;;6608.0;-15228.0;1588.0;-1456.0;-1645.0;-867.0;4436
44;;;6336.0;-16336.0;4320.0;-1440.0;-223.0;-168.0;4539
45;;;7604.0;-16268.0;5112.0;-1472.0;-666.0;-40.0;4643
46;;;3908.0;-15140.0;5032.0;-1456.0;-783.0;-10.0;4745
47;;;6888.0;-14688.0;3828.0;-1456.0;-204.0;-226.0;4848
48;;;7068.0;-15336.0;5668.0;-1440.0;-702.0;-362.0;4952
49;;;7196.0;-15440.0;4608.0;-1456.0;-713.0;-271.0;5054
50;;;7516.0;-15464.0;4080.0;-1456.0;-724.0;-170.0;5158
51;;;7248.0;-15136.0;3604.0;-1440.0;-263.0;72.0;5261
52;;;6632.0;-14884.0;4348.0;-1440.0;-183.0;39.0;5364
53;;;6532.0;-15256.0;4472.0;-1456.0;-459.0;78.0;5467
54;;;7460.0;-15376.0;4260.0;-1392.0;-604.0;-58.0;5570
