id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Esranur;Annaniiiii (Stein);-13220.0;-9912.0;-356.0;-3712.0;-408.0;-648.0;651618
1;Esranur;Annaniiiii (Stein);-13524.0;-9780.0;-692.0;-3712.0;-537.0;-122.0;651721
2;Esranur;Annaniiiii (Stein);-12960.0;-9776.0;-1084.0;-3680.0;-399.0;62.0;651824
3;Esranur;Annaniiiii (Stein);-13048.0;-9764.0;72.0;-3680.0;-392.0;-72.0;651927
4;Esranur;Annaniiiii (Stein);-9924.0;-9376.0;-2956.0;-3696.0;-186.0;-812.0;652030
5;Esranur;Annaniiiii (Stein);-4564.0;-6560.0;-5740.0;-3696.0;4875.0;-2821.0;652133
6;Esranur;Annaniiiii (Stein);-8676.0;-1460.0;-4728.0;-3696.0;14440.0;-1639.0;652236
7;Esranur;Annaniiiii (Stein);-26464.0;-72.0;-4868.0;-3696.0;22492.0;4863.0;652340
8;Esranur;Annaniiiii (Stein);-32768.0;724.0;20668.0;-3696.0;23861.0;2666.0;652443
9;Esranur;Annaniiiii (Stein);-23004.0;1980.0;26520.0;-3696.0;-1106.0;10988.0;652546
10;Esranur;Annaniiiii (Stein);-10688.0;4336.0;16588.0;-3728.0;-19375.0;11273.0;652649
11;Esranur;Annaniiiii (Stein);-4424.0;5400.0;7560.0;-3696.0;-30222.0;16474.0;652752
12;Esranur;Annaniiiii (Stein);-6292.0;7704.0;1228.0;-3696.0;-32768.0;12282.0;652856
13;Esranur;Annaniiiii (Stein);-15184.0;6960.0;-21116.0;-3728.0;-31171.0;-3496.0;652959
14;Esranur;Annaniiiii (Stein);-27644.0;5876.0;-32768.0;-3712.0;-12993.0;-18467.0;653063
15;Esranur;Annaniiiii (Stein);-15228.0;4832.0;-32768.0;-3680.0;12746.0;-18187.0;653166
16;Esranur;Annaniiiii (Stein);-6120.0;3204.0;-18116.0;-3696.0;27982.0;-7686.0;653268
17;Esranur;Annaniiiii (Stein);3992.0;736.0;-5728.0;-3696.0;30705.0;-2431.0;653372
18;Esranur;Annaniiiii (Stein);14260.0;972.0;4764.0;-3728.0;26193.0;3797.0;653475
19;Esranur;Annaniiiii (Stein);-32732.0;3332.0;32767.0;-3728.0;9914.0;14043.0;653579
20;Esranur;Annaniiiii (Stein);-18808.0;-7376.0;12268.0;-3696.0;-760.0;2908.0;653681
21;Esranur;Annaniiiii (Stein);-14840.0;-6900.0;9096.0;-3728.0;-1347.0;-193.0;653784
22;Esranur;Annaniiiii (Stein);-11800.0;-6908.0;4584.0;-3728.0;-1716.0;671.0;653888
23;Esranur;Annaniiiii (Stein);-11960.0;-7072.0;3908.0;-3696.0;-625.0;1269.0;653991
24;Esranur;Annaniiiii (Stein);-13056.0;-7244.0;4224.0;-3696.0;-1551.0;1683.0;654095
25;Esranur;Annaniiiii (Stein);-13328.0;-7280.0;5668.0;-3728.0;-710.0;391.0;654197
