id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Esranur;GEAR 5 (Papier);-2256.0;-17288.0;-652.0;-3664.0;-224.0;452.0;209090
1;Esranur;GEAR 5 (Papier);-360.0;-16836.0;-808.0;-3664.0;-133.0;451.0;209194
2;Esranur;GEAR 5 (Papier);-792.0;-16904.0;-1124.0;-3648.0;-1502.0;834.0;209297
3;Esranur;GEAR 5 (Papier);-1948.0;-17020.0;-1336.0;-3712.0;-799.0;490.0;209400
4;Esranur;GEAR 5 (Papier);-168.0;-16640.0;-2188.0;-3648.0;-304.0;-345.0;209503
5;Esranur;GEAR 5 (Papier);-1728.0;-17320.0;-1924.0;-3648.0;-109.0;-169.0;209606
6;Esranur;GEAR 5 (Papier);-692.0;-17152.0;-1996.0;-3680.0;-53.0;134.0;209710
7;Esranur;GEAR 5 (Papier);2768.0;-15480.0;-2516.0;-3680.0;-254.0;1363.0;209812
8;Esranur;GEAR 5 (Papier);5988.0;-6344.0;-2340.0;-3648.0;-762.0;4309.0;209916
9;Esranur;GEAR 5 (Papier);-6752.0;-3636.0;812.0;-3648.0;129.0;3401.0;210019
10;Esranur;GEAR 5 (Papier);-18012.0;-1704.0;-4224.0;-3648.0;4359.0;711.0;210123
11;Esranur;GEAR 5 (Papier);-25356.0;-8880.0;1460.0;-3680.0;-90.0;907.0;210225
12;Esranur;GEAR 5 (Papier);-18356.0;-10000.0;-1332.0;-3664.0;4557.0;-622.0;210328
13;Esranur;GEAR 5 (Papier);-17512.0;-10760.0;2984.0;-3648.0;2088.0;-120.0;210432
14;Esranur;GEAR 5 (Papier);-22196.0;-15288.0;-2364.0;-3680.0;-100.0;-358.0;210535
15;Esranur;GEAR 5 (Papier);-19420.0;-15548.0;-5900.0;-3648.0;-3091.0;388.0;210638
16;Esranur;GEAR 5 (Papier);-15484.0;-4736.0;-4704.0;-3664.0;-4844.0;2716.0;210741
17;Esranur;GEAR 5 (Papier);-17612.0;4436.0;-3220.0;-3664.0;3672.0;-3281.0;210844
18;Esranur;GEAR 5 (Papier);-17060.0;12036.0;6140.0;-3632.0;1723.0;2977.0;210948
19;Esranur;GEAR 5 (Papier);-16756.0;7660.0;-1432.0;-3664.0;-9210.0;693.0;211051
20;Esranur;GEAR 5 (Papier);-17772.0;-1368.0;-5936.0;-3648.0;-4686.0;2297.0;211154
21;Esranur;GEAR 5 (Papier);-21568.0;-12576.0;320.0;-3664.0;1232.0;1685.0;211257
22;Esranur;GEAR 5 (Papier);-22868.0;-19880.0;3988.0;-3632.0;1350.0;1225.0;211361
23;Esranur;GEAR 5 (Papier);-24248.0;-15632.0;-932.0;-3664.0;-6437.0;5318.0;211464
24;Esranur;GEAR 5 (Papier);-15592.0;-5016.0;-10536.0;-3664.0;2734.0;-6563.0;211567
25;Esranur;GEAR 5 (Papier);-21360.0;7680.0;-2992.0;-3664.0;6738.0;4279.0;211670
26;Esranur;GEAR 5 (Papier);-23760.0;2860.0;2164.0;-3696.0;1206.0;2403.0;211773
27;Esranur;GEAR 5 (Papier);-15968.0;-1972.0;-1532.0;-3664.0;-3219.0;1102.0;211877
28;Esranur;GEAR 5 (Papier);-15372.0;-3960.0;-2244.0;-3664.0;122.0;-1624.0;211980
29;Esranur;GEAR 5 (Papier);-14396.0;-4084.0;-4140.0;-3696.0;-1279.0;671.0;212083
30;Esranur;GEAR 5 (Papier);-15380.0;-3984.0;-1364.0;-3680.0;-222.0;582.0;212186
