id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Esranur;sues (Schere);-15388.0;-2684.0;-2304.0;-3664.0;-164.0;-411.0;477220
1;Esranur;sues (Schere);-16108.0;-2852.0;-3184.0;-3664.0;-359.0;-30.0;477324
2;Esranur;sues (Schere);-16068.0;-2760.0;-2224.0;-3664.0;-448.0;74.0;477426
3;Esranur;sues (Schere);-16032.0;-2740.0;-2724.0;-3696.0;-178.0;139.0;477529
4;Esranur;sues (Schere);-15456.0;-2628.0;-2072.0;-3664.0;-285.0;20.0;477633
5;Esranur;sues (Schere);-16312.0;-2636.0;-3060.0;-3632.0;-137.0;-100.0;477736
6;Esranur;sues (Schere);-25532.0;-7712.0;-364.0;-3664.0;-292.0;-2076.0;477840
7;Esranur;sues (Schere);-32768.0;-12456.0;2668.0;-3696.0;-6028.0;-5245.0;477942
8;Esranur;sues (Schere);-17448.0;232.0;-7216.0;-3664.0;-7360.0;11877.0;478046
9;Esranur;sues (Schere);1568.0;312.0;308.0;-3680.0;-3206.0;940.0;478149
10;Esranur;sues (Schere);4696.0;-1004.0;-4340.0;-3648.0;-2509.0;1085.0;478252
11;Esranur;sues (Schere);1096.0;-4456.0;-14512.0;-3680.0;-429.0;3409.0;478355
12;Esranur;sues (Schere);-2356.0;-3260.0;-13680.0;-3648.0;6744.0;3850.0;478458
13;Esranur;sues (Schere);-18824.0;-5584.0;-19724.0;-3648.0;19249.0;8065.0;478562
14;Esranur;sues (Schere);-29892.0;-6612.0;18704.0;-3632.0;26817.0;13620.0;478665
15;Esranur;sues (Schere);-16660.0;-8516.0;19444.0;-3680.0;-6647.0;857.0;478769
16;Esranur;sues (Schere);-20800.0;-4440.0;13220.0;-3648.0;-20010.0;468.0;478871
17;Esranur;sues (Schere);-19996.0;836.0;-3176.0;-3648.0;-30560.0;-3433.0;478974
18;Esranur;sues (Schere);-14444.0;5760.0;-13684.0;-3648.0;-31253.0;-5869.0;479078
19;Esranur;sues (Schere);-13672.0;1164.0;-25900.0;-3664.0;-14066.0;-1475.0;479181
20;Esranur;sues (Schere);-13456.0;-2288.0;-14836.0;-3648.0;-2918.0;74.0;479285
21;Esranur;sues (Schere);-11680.0;-4596.0;-9824.0;-3648.0;-581.0;-417.0;479387
22;Esranur;sues (Schere);-13624.0;-5556.0;-11388.0;-3664.0;-550.0;-258.0;479490
23;Esranur;sues (Schere);-12848.0;-6056.0;-7880.0;-3648.0;594.0;34.0;479594
24;Esranur;sues (Schere);-13340.0;-6216.0;-9156.0;-3632.0;-781.0;-403.0;479697
25;Esranur;sues (Schere);-13952.0;-6168.0;-10044.0;-3664.0;-353.0;-1009.0;479800
