id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Irfan;Annaniiiii (Stein);4948.0;-7156.0;-18160.0;-3632.0;-503.0;-112.0;175872
1;Irfan;Annaniiiii (Stein);5160.0;-7380.0;-16880.0;-3632.0;-413.0;21.0;175975
2;Irfan;Annaniiiii (Stein);4712.0;-7364.0;-17324.0;-3632.0;-326.0;-149.0;176079
3;Irfan;Annaniiiii (Stein);4920.0;-7260.0;-16556.0;-3600.0;-555.0;-438.0;176182
4;Irfan;Annaniiiii (Stein);11616.0;-5824.0;-5480.0;-3632.0;-11824.0;-21587.0;176284
5;Irfan;Annaniiiii (Stein);29392.0;3624.0;-12216.0;-3632.0;-13310.0;-3208.0;176388
6;Irfan;Annaniiiii (Stein);-4748.0;27048.0;-32768.0;-3648.0;4287.0;12653.0;176491
7;Irfan;Annaniiiii (Stein);-19872.0;12124.0;-23348.0;-3648.0;30613.0;-485.0;176595
8;Irfan;Annaniiiii (Stein);-17752.0;3308.0;1940.0;-3664.0;24762.0;-8210.0;176698
9;Irfan;Annaniiiii (Stein);-11192.0;2632.0;-24.0;-3664.0;-3046.0;-10002.0;176802
10;Irfan;Annaniiiii (Stein);-12056.0;30436.0;-32768.0;-3632.0;-17312.0;-12909.0;176904
11;Irfan;Annaniiiii (Stein);32767.0;32767.0;-32768.0;-3616.0;32767.0;-11612.0;177007
12;Irfan;Annaniiiii (Stein);32767.0;2308.0;17324.0;-3632.0;26805.0;-412.0;177111
13;Irfan;Annaniiiii (Stein);8296.0;196.0;7028.0;-3600.0;-4177.0;4147.0;177214
14;Irfan;Annaniiiii (Stein);11272.0;5080.0;1716.0;-3616.0;-32768.0;8748.0;177318
15;Irfan;Annaniiiii (Stein);-32768.0;16188.0;-25768.0;-3664.0;-32768.0;14045.0;177420
16;Irfan;Annaniiiii (Stein);5336.0;1972.0;-19428.0;-3616.0;12962.0;7465.0;177524
17;Irfan;Annaniiiii (Stein);2040.0;-3848.0;-21720.0;-3616.0;2069.0;-330.0;177627
18;Irfan;Annaniiiii (Stein);692.0;-4684.0;-18788.0;-3648.0;-1046.0;-1931.0;177730
19;Irfan;Annaniiiii (Stein);760.0;-5276.0;-18108.0;-3632.0;-543.0;-116.0;177834
20;Irfan;Annaniiiii (Stein);-292.0;-5296.0;-19944.0;-3616.0;951.0;361.0;177936
21;Irfan;Annaniiiii (Stein);-332.0;-5188.0;-17704.0;-3632.0;33.0;73.0;178040
22;Irfan;Annaniiiii (Stein);1156.0;-5168.0;-19460.0;-3632.0;-2105.0;-1359.0;178143
23;Irfan;Annaniiiii (Stein);188.0;-5024.0;-18440.0;-3632.0;-372.0;-318.0;178245
24;Irfan;Annaniiiii (Stein);1440.0;-5108.0;-18816.0;-3632.0;24.0;135.0;178349
25;Irfan;Annaniiiii (Stein);1432.0;-5432.0;-18784.0;-3616.0;-124.0;112.0;178452
26;Irfan;Annaniiiii (Stein);-24.0;-4868.0;-20628.0;-3648.0;-962.0;-233.0;178556
27;Irfan;Annaniiiii (Stein);360.0;-4876.0;-18952.0;-3616.0;-854.0;243.0;178658
28;Irfan;Annaniiiii (Stein);900.0;-4736.0;-18900.0;-3632.0;-445.0;14.0;178762
29;Irfan;Annaniiiii (Stein);220.0;-4572.0;-19944.0;-3632.0;-253.0;-365.0;178865
30;Irfan;Annaniiiii (Stein);1480.0;-5184.0;-17820.0;-3648.0;-291.0;80.0;178968
31;Irfan;Annaniiiii (Stein);1564.0;-5092.0;-19188.0;-3616.0;-493.0;-106.0;179071
