id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Irfan;GEAR 5 (Papier);6672.0;-16196.0;-2316.0;-4736.0;1165.0;553.0;1214687
1;Irfan;GEAR 5 (Papier);3412.0;-14316.0;-2504.0;-4800.0;388.0;-227.0;1214791
2;Irfan;GEAR 5 (Papier);-7080.0;-7152.0;2240.0;-4800.0;388.0;-2695.0;1214894
3;Irfan;GEAR 5 (Papier);-2064.0;1924.0;-4668.0;-4784.0;-10756.0;3422.0;1214998
4;Irfan;GEAR 5 (Papier);12740.0;-3736.0;-13956.0;-4752.0;-17180.0;-12226.0;1215101
5;Irfan;GEAR 5 (Papier);32767.0;-11628.0;-22820.0;-4768.0;-7908.0;231.0;1215205
6;Irfan;GEAR 5 (Papier);23900.0;-9460.0;-13512.0;-4768.0;-6173.0;2400.0;1215307
7;Irfan;GEAR 5 (Papier);20436.0;-10588.0;-10572.0;-4784.0;-2392.0;2912.0;1215410
8;Irfan;GEAR 5 (Papier);12636.0;-11036.0;-11584.0;-4784.0;-920.0;835.0;1215514
9;Irfan;GEAR 5 (Papier);10408.0;-14848.0;-12040.0;-4752.0;2741.0;1902.0;1215617
10;Irfan;GEAR 5 (Papier);5292.0;-13260.0;-5940.0;-4784.0;6055.0;-12767.0;1215721
11;Irfan;GEAR 5 (Papier);17972.0;12120.0;-18744.0;-4736.0;18387.0;22240.0;1215824
12;Irfan;GEAR 5 (Papier);10748.0;31208.0;-18220.0;-4768.0;-12994.0;-21322.0;1215928
13;Irfan;GEAR 5 (Papier);3652.0;-2212.0;19384.0;-4752.0;11360.0;5139.0;1216031
14;Irfan;GEAR 5 (Papier);15752.0;-16356.0;-8036.0;-4784.0;-16111.0;-8312.0;1216133
15;Irfan;GEAR 5 (Papier);21664.0;-18648.0;-21632.0;-4784.0;-11500.0;-3492.0;1216237
16;Irfan;GEAR 5 (Papier);14864.0;-18720.0;-10100.0;-4736.0;-3702.0;4633.0;1216340
17;Irfan;GEAR 5 (Papier);15572.0;-6232.0;-12276.0;-4768.0;7234.0;3596.0;1216444
18;Irfan;GEAR 5 (Papier);25708.0;31612.0;7124.0;-4768.0;-27465.0;-19232.0;1216547
19;Irfan;GEAR 5 (Papier);19352.0;2540.0;-4644.0;-4784.0;13198.0;6648.0;1216650
20;Irfan;GEAR 5 (Papier);23816.0;-1424.0;-11080.0;-4784.0;-4108.0;-2826.0;1216754
21;Irfan;GEAR 5 (Papier);16780.0;-1308.0;-6884.0;-4752.0;-268.0;-910.0;1216857
22;Irfan;GEAR 5 (Papier);12756.0;-2004.0;-9168.0;-4784.0;-471.0;507.0;1216960
23;Irfan;GEAR 5 (Papier);13836.0;-1844.0;-6752.0;-4768.0;-2818.0;-253.0;1217063
24;Irfan;GEAR 5 (Papier);18676.0;-1220.0;-8476.0;-4736.0;1074.0;1037.0;1217167
