çid;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Irfan;GEAR 5 (Papier);-1048.0;-17028.0;-2372.0;-4784.0;-277.0;156.0;1458748
1;Irfan;GEAR 5 (Papier);364.0;-17320.0;-2404.0;-4784.0;231.0;158.0;1458851
2;Irfan;GEAR 5 (Papier);-1704.0;-16824.0;-2344.0;-4800.0;-827.0;-376.0;1458954
3;Irfan;GEAR 5 (Papier);-404.0;-17188.0;-2840.0;-4800.0;351.0;-418.0;1459058
4;Irfan;GEAR 5 (Papier);148.0;-17104.0;-964.0;-4800.0;-491.0;-27.0;1459161
5;Irfan;GEAR 5 (Papier);-616.0;-16848.0;-1596.0;-4784.0;-649.0;-374.0;1459264
6;Irfan;GEAR 5 (Papier);-2340.0;-15188.0;-968.0;-4784.0;-140.0;-845.0;1459367
7;Irfan;GEAR 5 (Papier);-13732.0;-9908.0;-5116.0;-4816.0;-6835.0;-5285.0;1459471
8;Irfan;GEAR 5 (Papier);736.0;-6132.0;-6292.0;-4784.0;-7221.0;-2584.0;1459574
9;Irfan;GEAR 5 (Papier);13808.0;-4616.0;-3644.0;-4784.0;-9715.0;-2376.0;1459677
10;Irfan;GEAR 5 (Papier);29568.0;-4100.0;-9636.0;-4752.0;-10208.0;1377.0;1459781
11;Irfan;GEAR 5 (Papier);27380.0;-3808.0;-12272.0;-4816.0;-5193.0;-1429.0;1459883
12;Irfan;GEAR 5 (Papier);19732.0;-3160.0;-8976.0;-4800.0;-5966.0;499.0;1459987
13;Irfan;GEAR 5 (Papier);18428.0;-8640.0;-13104.0;-4784.0;-3854.0;1667.0;1460090
14;Irfan;GEAR 5 (Papier);17708.0;-10536.0;-12784.0;-4800.0;5524.0;4190.0;1460194
15;Irfan;GEAR 5 (Papier);13760.0;-9800.0;-3456.0;-4768.0;6241.0;-3032.0;1460297
16;Irfan;GEAR 5 (Papier);2524.0;-3956.0;-16708.0;-4768.0;12710.0;-6542.0;1460400
17;Irfan;GEAR 5 (Papier);32767.0;32767.0;16884.0;-4832.0;8890.0;32767.0;1460504
18;Irfan;GEAR 5 (Papier);16760.0;11020.0;-21564.0;-4800.0;19437.0;8270.0;1460606
19;Irfan;GEAR 5 (Papier);6688.0;-9224.0;2204.0;-4784.0;-4600.0;-6263.0;1460710
20;Irfan;GEAR 5 (Papier);14444.0;-10660.0;-4124.0;-4784.0;-12047.0;717.0;1460813
21;Irfan;GEAR 5 (Papier);17028.0;-11576.0;-15188.0;-4784.0;-5721.0;-12.0;1460916
22;Irfan;GEAR 5 (Papier);12864.0;-11872.0;-6156.0;-4784.0;-451.0;2386.0;1461020
23;Irfan;GEAR 5 (Papier);15032.0;-13504.0;-15840.0;-4816.0;4092.0;-3574.0;1461123
24;Irfan;GEAR 5 (Papier);-6992.0;6912.0;14240.0;-4800.0;19328.0;32767.0;1461227
25;Irfan;GEAR 5 (Papier);18032.0;7432.0;-14236.0;-4800.0;7381.0;7948.0;1461329
26;Irfan;GEAR 5 (Papier);14372.0;-864.0;-9612.0;-4800.0;-632.0;-3140.0;1461433
27;Irfan;GEAR 5 (Papier);15472.0;-2644.0;-5000.0;-4800.0;1033.0;771.0;1461536
28;Irfan;GEAR 5 (Papier);18324.0;-2792.0;-9052.0;-4800.0;1840.0;1900.0;1461639
29;Irfan;GEAR 5 (Papier);19352.0;-3580.0;-12036.0;-4800.0;69.0;-1272.0;1461743
30;Irfan;GEAR 5 (Papier);15660.0;-3400.0;-8220.0;-4768.0;547.0;58.0;1461846
31;Irfan;GEAR 5 (Papier);14980.0;-2828.0;-7204.0;-4816.0;-213.0;-119.0;1461949
32;Irfan;GEAR 5 (Papier);15104.0;-3388.0;-7928.0;-4784.0;-195.0;199.0;1462052
33;Irfan;GEAR 5 (Papier);15508.0;-3216.0;-7604.0;-4816.0;-322.0;131.0;1462156
34;Irfan;GEAR 5 (Papier);15460.0;-3180.0;-7760.0;-4800.0;-672.0;-515.0;1462259
35;Irfan;GEAR 5 (Papier);14760.0;-3152.0;-5768.0;-4736.0;-383.0;236.0;1462361
36;Irfan;GEAR 5 (Papier);16276.0;-3436.0;-8188.0;-4800.0;108.0;1057.0;1462465
37;Irfan;GEAR 5 (Papier);18132.0;-3752.0;-8196.0;-4816.0;785.0;1303.0;1462568
