id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Irfan;sues (Schere);-1504.0;-1100.0;13848.0;-3664.0;573.0;607.0;326718
1;Irfan;sues (Schere);-1780.0;-824.0;15032.0;-3648.0;416.0;413.0;326822
2;Irfan;sues (Schere);-1644.0;-1072.0;13748.0;-3616.0;-42.0;825.0;326924
3;Irfan;sues (Schere);660.0;-4028.0;22364.0;-3600.0;4971.0;1209.0;327028
4;Irfan;sues (Schere);-5560.0;1880.0;32767.0;-3632.0;-21445.0;3190.0;327131
5;Irfan;sues (Schere);-7052.0;-248.0;15560.0;-3600.0;-25617.0;2640.0;327234
6;Irfan;sues (Schere);740.0;-3804.0;10964.0;-3584.0;-21877.0;1232.0;327337
7;Irfan;sues (Schere);500.0;-5800.0;1288.0;-3616.0;-18314.0;907.0;327440
8;Irfan;sues (Schere);-556.0;-7072.0;-8468.0;-3616.0;-9329.0;-2094.0;327544
9;Irfan;sues (Schere);-5360.0;-6740.0;-11704.0;-3616.0;6439.0;-452.0;327647
10;Irfan;sues (Schere);-14392.0;-5992.0;-1824.0;-3616.0;18754.0;5425.0;327750
11;Irfan;sues (Schere);-12156.0;3996.0;684.0;-3632.0;24807.0;14505.0;327853
12;Irfan;sues (Schere);11988.0;19720.0;28320.0;-3616.0;29996.0;19657.0;327956
13;Irfan;sues (Schere);32767.0;26208.0;32767.0;-3648.0;-1047.0;12799.0;328060
14;Irfan;sues (Schere);3044.0;32767.0;20032.0;-3648.0;-11363.0;-5705.0;328163
15;Irfan;sues (Schere);-21992.0;4852.0;-6708.0;-3616.0;-10557.0;-1661.0;328267
16;Irfan;sues (Schere);-23864.0;2036.0;19588.0;-3632.0;-5822.0;3960.0;328369
17;Irfan;sues (Schere);-6492.0;-256.0;16772.0;-3632.0;682.0;1266.0;328472
18;Irfan;sues (Schere);-2936.0;-412.0;16804.0;-3616.0;72.0;-557.0;328576
19;Irfan;sues (Schere);-508.0;-1312.0;13256.0;-3632.0;-831.0;-323.0;328679
