id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Muhammed;GEAR 5 (Papier);-1120.0;-8732.0;14796.0;-3680.0;-3762.0;-473.0;760598
1;Muhammed;GEAR 5 (Papier);-4860.0;-12124.0;22704.0;-3648.0;-6978.0;-4073.0;760701
2;Muhammed;GEAR 5 (Papier);-1008.0;-9616.0;18292.0;-3616.0;-18569.0;-4310.0;760805
3;Muhammed;GEAR 5 (Papier);3904.0;-5884.0;5016.0;-3664.0;-15604.0;-9490.0;760908
4;Muhammed;GEAR 5 (Papier);5256.0;-7536.0;-3644.0;-3648.0;-16698.0;-2394.0;761012
5;Muhammed;GEAR 5 (Papier);-4592.0;-14416.0;-11184.0;-3664.0;-7086.0;-4113.0;761114
6;Muhammed;GEAR 5 (Papier);-1288.0;-15888.0;-1980.0;-3664.0;-3863.0;346.0;761218
7;Muhammed;GEAR 5 (Papier);-884.0;-16388.0;-1004.0;-3664.0;-437.0;-1154.0;761321
8;Muhammed;GEAR 5 (Papier);-1128.0;-15888.0;560.0;-3664.0;-1292.0;1692.0;761424
9;Muhammed;GEAR 5 (Papier);-856.0;-13188.0;-8416.0;-3664.0;-2283.0;3443.0;761528
10;Muhammed;GEAR 5 (Papier);-1024.0;-6428.0;-10832.0;-3664.0;12659.0;-8077.0;761630
11;Muhammed;GEAR 5 (Papier);-5792.0;-1728.0;10500.0;-3696.0;30481.0;4072.0;761734
12;Muhammed;GEAR 5 (Papier);-5520.0;-7484.0;16144.0;-3632.0;25822.0;5056.0;761837
13;Muhammed;GEAR 5 (Papier);-1352.0;-5988.0;21600.0;-3632.0;18178.0;4962.0;761941
14;Muhammed;GEAR 5 (Papier);-720.0;-5588.0;22012.0;-3632.0;13291.0;-1958.0;762044
15;Muhammed;GEAR 5 (Papier);2440.0;-8016.0;14528.0;-3664.0;7895.0;1820.0;762146
16;Muhammed;GEAR 5 (Papier);3644.0;-10832.0;12504.0;-3664.0;1204.0;-1070.0;762250
17;Muhammed;GEAR 5 (Papier);340.0;-6288.0;24360.0;-3632.0;2223.0;-1934.0;762353
18;Muhammed;GEAR 5 (Papier);2020.0;1152.0;20196.0;-3664.0;-2619.0;-4511.0;762457
19;Muhammed;GEAR 5 (Papier);-3044.0;2144.0;8968.0;-3664.0;-3896.0;1187.0;762559
20;Muhammed;GEAR 5 (Papier);-196.0;5116.0;6972.0;-3680.0;-4042.0;971.0;762662
21;Muhammed;GEAR 5 (Papier);-524.0;4856.0;12468.0;-3680.0;-1476.0;990.0;762766
22;Muhammed;GEAR 5 (Papier);-68.0;5908.0;15704.0;-3648.0;2227.0;1044.0;762869
23;Muhammed;GEAR 5 (Papier);-3844.0;4576.0;12164.0;-3632.0;1762.0;3162.0;762972
24;Muhammed;GEAR 5 (Papier);-884.0;1520.0;15112.0;-3632.0;2225.0;1133.0;763075
25;Muhammed;GEAR 5 (Papier);-4440.0;-1640.0;13012.0;-3664.0;8966.0;1022.0;763179
26;Muhammed;GEAR 5 (Papier);3408.0;-2948.0;18504.0;-3664.0;12225.0;-3453.0;763282
27;Muhammed;GEAR 5 (Papier);8348.0;-9468.0;14136.0;-3696.0;4531.0;1490.0;763384
28;Muhammed;GEAR 5 (Papier);5712.0;-9304.0;20332.0;-3664.0;-9550.0;54.0;763488
29;Muhammed;GEAR 5 (Papier);-448.0;-5540.0;18480.0;-3664.0;-14621.0;1410.0;763591
30;Muhammed;GEAR 5 (Papier);-1392.0;540.0;15056.0;-3664.0;-5637.0;1110.0;763695
31;Muhammed;GEAR 5 (Papier);-3568.0;6316.0;20156.0;-3664.0;891.0;2477.0;763798
32;Muhammed;GEAR 5 (Papier);660.0;4004.0;1816.0;-3664.0;143.0;-1377.0;763900
33;Muhammed;GEAR 5 (Papier);-3304.0;1764.0;18204.0;-3648.0;-2568.0;-1441.0;764004
34;Muhammed;GEAR 5 (Papier);-4952.0;-888.0;12764.0;-3648.0;654.0;-4082.0;764107
35;Muhammed;GEAR 5 (Papier);-4248.0;-1636.0;14184.0;-3648.0;-470.0;-2095.0;764211
36;Muhammed;GEAR 5 (Papier);-4396.0;-2188.0;13884.0;-3680.0;-414.0;-1360.0;764313
37;Muhammed;GEAR 5 (Papier);-1464.0;-2236.0;14088.0;-3680.0;-446.0;58.0;764417
38;Muhammed;GEAR 5 (Papier);-24.0;-2364.0;12884.0;-3648.0;-20.0;832.0;764520
