id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Muhammed;sues (Schere);3268.0;-408.0;15760.0;-3824.0;1603.0;-528.0;205774
1;Muhammed;sues (Schere);3532.0;-136.0;12664.0;-3792.0;880.0;1491.0;205878
2;Muhammed;sues (Schere);3152.0;-96.0;14292.0;-3808.0;289.0;323.0;205981
3;Muhammed;sues (Schere);2624.0;-32.0;13592.0;-3840.0;-355.0;772.0;206084
4;Muhammed;sues (Schere);2620.0;-28.0;13668.0;-3792.0;-140.0;908.0;206187
5;Muhammed;sues (Schere);2232.0;-300.0;14032.0;-3808.0;-103.0;828.0;206290
6;Muhammed;sues (Schere);816.0;-3868.0;20408.0;-3792.0;1389.0;509.0;206393
7;Muhammed;sues (Schere);4972.0;-3416.0;27044.0;-3808.0;-13871.0;4549.0;206496
8;Muhammed;sues (Schere);2516.0;-4312.0;23748.0;-3808.0;-16661.0;1755.0;206600
9;Muhammed;sues (Schere);976.0;-1372.0;19888.0;-3840.0;-24984.0;10296.0;206703
10;Muhammed;sues (Schere);-7396.0;-1180.0;9260.0;-3808.0;-24026.0;3497.0;206806
11;Muhammed;sues (Schere);-1096.0;-2608.0;-8996.0;-3792.0;-15524.0;3364.0;206909
12;Muhammed;sues (Schere);-3764.0;-7596.0;-6716.0;-3856.0;-1345.0;-1129.0;207012
13;Muhammed;sues (Schere);-9468.0;-8468.0;-5008.0;-3792.0;7201.0;5254.0;207116
14;Muhammed;sues (Schere);-10596.0;-7172.0;1964.0;-3840.0;12893.0;9247.0;207219
15;Muhammed;sues (Schere);-8468.0;-5316.0;5000.0;-3840.0;21440.0;12062.0;207322
16;Muhammed;sues (Schere);-6736.0;-1076.0;14660.0;-3792.0;25154.0;10123.0;207425
17;Muhammed;sues (Schere);12096.0;-440.0;32767.0;-3808.0;17010.0;-49.0;207528
18;Muhammed;sues (Schere);6468.0;-2276.0;21040.0;-3824.0;7722.0;-2888.0;207632
19;Muhammed;sues (Schere);3652.0;-2448.0;16204.0;-3840.0;3090.0;-2150.0;207735
20;Muhammed;sues (Schere);7128.0;-212.0;18244.0;-3872.0;1971.0;-3072.0;207838
21;Muhammed;sues (Schere);7676.0;1812.0;15388.0;-3840.0;1708.0;-6010.0;207941
22;Muhammed;sues (Schere);4292.0;3408.0;16116.0;-3824.0;3052.0;-7296.0;208045
23;Muhammed;sues (Schere);-7888.0;6656.0;19216.0;-3824.0;-2273.0;3965.0;208148
24;Muhammed;sues (Schere);-11220.0;2428.0;13288.0;-3808.0;-5761.0;1902.0;208250
25;Muhammed;sues (Schere);-11064.0;-100.0;12016.0;-3808.0;-2758.0;381.0;208354
26;Muhammed;sues (Schere);-5964.0;-1080.0;12864.0;-3792.0;502.0;-1949.0;208457
27;Muhammed;sues (Schere);-1020.0;-2136.0;13848.0;-3824.0;-1640.0;521.0;208561
28;Muhammed;sues (Schere);-1112.0;-2520.0;13372.0;-3872.0;-2585.0;1005.0;208664
29;Muhammed;sues (Schere);420.0;-2660.0;15452.0;-3840.0;863.0;-1305.0;208766
30;Muhammed;sues (Schere);584.0;-2372.0;12364.0;-3824.0;-496.0;-690.0;208870
31;Muhammed;sues (Schere);784.0;-2036.0;14388.0;-3824.0;-356.0;-9.0;208973
