id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
31;Semih;Annaniiiii (Stein);-13668.0;-2296.0;1652.0;-4032.0;236.0;-702.0;54864
1;Semih;Annaniiiii (Stein);-9668.0;-13980.0;480.0;-4096.0;-586.0;543.0;57752
2;Semih;Annaniiiii (Stein);-9452.0;-14012.0;28.0;-4064.0;-923.0;60.0;57855
3;Semih;Annaniiiii (Stein);-8592.0;-15256.0;2344.0;-4064.0;-327.0;656.0;57958
4;Semih;Annaniiiii (Stein);-11736.0;-14816.0;-824.0;-4064.0;-2479.0;1561.0;58061
5;Semih;Annaniiiii (Stein);-8940.0;-13068.0;-1776.0;-4048.0;-2352.0;1984.0;58164
6;Semih;Annaniiiii (Stein);-1268.0;-11324.0;-2320.0;-4064.0;-2091.0;1222.0;58267
7;Semih;Annaniiiii (Stein);152.0;-4884.0;-3996.0;-4016.0;1601.0;-9652.0;58370
8;Semih;Annaniiiii (Stein);-14228.0;648.0;-3808.0;-4080.0;11910.0;-22598.0;58474
9;Semih;Annaniiiii (Stein);-32768.0;-3540.0;4024.0;-4064.0;22513.0;-12239.0;58577
10;Semih;Annaniiiii (Stein);-24200.0;-3024.0;23804.0;-4080.0;14376.0;-7353.0;58680
11;Semih;Annaniiiii (Stein);-13004.0;3184.0;30764.0;-4032.0;-5067.0;11674.0;58783
12;Semih;Annaniiiii (Stein);184.0;5608.0;18364.0;-4048.0;-22345.0;29992.0;58886
13;Semih;Annaniiiii (Stein);15960.0;-704.0;-8376.0;-4064.0;-20196.0;17865.0;58990
14;Semih;Annaniiiii (Stein);10652.0;1476.0;-11160.0;-4048.0;-14265.0;4361.0;59092
15;Semih;Annaniiiii (Stein);-24572.0;7748.0;-1288.0;-4032.0;-20628.0;-12779.0;59196
16;Semih;Annaniiiii (Stein);-32768.0;-564.0;-24.0;-4080.0;-16450.0;-18178.0;59299
17;Semih;Annaniiiii (Stein);-32768.0;-5484.0;-18044.0;-4064.0;-16486.0;-4338.0;59402
18;Semih;Annaniiiii (Stein);-12488.0;-3116.0;-16056.0;-4080.0;-8505.0;-1556.0;59506
19;Semih;Annaniiiii (Stein);-2128.0;-7700.0;-11464.0;-4048.0;8076.0;18448.0;59608
20;Semih;Annaniiiii (Stein);11816.0;-9736.0;-7000.0;-4064.0;18319.0;16793.0;59712
21;Semih;Annaniiiii (Stein);23980.0;-384.0;-244.0;-4048.0;9150.0;11504.0;59815
22;Semih;Annaniiiii (Stein);-27848.0;32767.0;-1904.0;-4064.0;16718.0;5953.0;59919
23;Semih;Annaniiiii (Stein);-32768.0;2616.0;14052.0;-4080.0;22934.0;-1739.0;60021
24;Semih;Annaniiiii (Stein);-18636.0;-640.0;-16784.0;-4064.0;-6412.0;1340.0;60124
25;Semih;Annaniiiii (Stein);-14684.0;-196.0;6120.0;-4048.0;3506.0;631.0;60228
26;Semih;Annaniiiii (Stein);-14932.0;-916.0;-2988.0;-4064.0;-1831.0;322.0;60330
27;Semih;Annaniiiii (Stein);-14636.0;-1160.0;-1260.0;-4048.0;-938.0;212.0;60434
28;Semih;Annaniiiii (Stein);-15284.0;-1204.0;-856.0;-4080.0;-1639.0;1058.0;60537
29;Semih;Annaniiiii (Stein);-14712.0;-1460.0;-920.0;-4064.0;-1834.0;717.0;60641
30;Semih;Annaniiiii (Stein);-15604.0;-1344.0;-1136.0;-4048.0;-648.0;-63.0;60743
31;Semih;Annaniiiii (Stein);-15980.0;-1528.0;-1112.0;-4064.0;-811.0;248.0;60846
32;Semih;Annaniiiii (Stein);-15508.0;-1392.0;-1740.0;-4032.0;-549.0;-661.0;60950
33;Semih;Annaniiiii (Stein);-16196.0;-1496.0;-1340.0;-4080.0;-2.0;-289.0;61052
34;Semih;Annaniiiii (Stein);-16632.0;-1796.0;-1516.0;-4048.0;-602.0;762.0;61156
35;Semih;Annaniiiii (Stein);-16532.0;-1768.0;-1040.0;-4064.0;-682.0;323.0;61259
