id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Semih;GEAR 5 (Papier);3560.0;-16220.0;-28.0;-3920.0;481.0;994.0;1179081
1;Semih;GEAR 5 (Papier);4672.0;-16856.0;-1972.0;-3920.0;1528.0;-201.0;1179185
2;Semih;GEAR 5 (Papier);3704.0;-17372.0;1416.0;-3936.0;224.0;-268.0;1179287
3;Semih;GEAR 5 (Papier);3748.0;-16392.0;-448.0;-3936.0;-1628.0;271.0;1179391
4;Semih;GEAR 5 (Papier);7540.0;-16444.0;-3140.0;-3904.0;-1474.0;421.0;1179494
5;Semih;GEAR 5 (Papier);24112.0;-21152.0;-3000.0;-3904.0;-3693.0;-1535.0;1179598
6;Semih;GEAR 5 (Papier);10816.0;-4960.0;-7228.0;-3904.0;-575.0;-17598.0;1179701
7;Semih;GEAR 5 (Papier);-23720.0;27028.0;-10748.0;-3936.0;15468.0;-13293.0;1179804
8;Semih;GEAR 5 (Papier);4932.0;4316.0;18564.0;-3952.0;19877.0;-21096.0;1179908
9;Semih;GEAR 5 (Papier);-16472.0;-10536.0;32767.0;-3920.0;20101.0;-14812.0;1180010
10;Semih;GEAR 5 (Papier);-8184.0;-16088.0;22376.0;-3920.0;516.0;-3668.0;1180114
11;Semih;GEAR 5 (Papier);-3320.0;-25560.0;856.0;-3920.0;-12152.0;14813.0;1180217
12;Semih;GEAR 5 (Papier);-32768.0;-7352.0;10236.0;-3936.0;-10054.0;30460.0;1180321
13;Semih;GEAR 5 (Papier);-32768.0;19276.0;-13300.0;-3936.0;1853.0;32767.0;1180424
14;Semih;GEAR 5 (Papier);-7564.0;24628.0;32767.0;-3904.0;-6914.0;-9661.0;1180527
15;Semih;GEAR 5 (Papier);-11244.0;5660.0;-18108.0;-3952.0;-21555.0;-12739.0;1180631
16;Semih;GEAR 5 (Papier);-3724.0;-23136.0;26864.0;-3920.0;10919.0;-1081.0;1180734
17;Semih;GEAR 5 (Papier);-10432.0;-27688.0;29620.0;-3936.0;3835.0;-5748.0;1180837
18;Semih;GEAR 5 (Papier);7720.0;-27308.0;4148.0;-3936.0;1248.0;-705.0;1180940
19;Semih;GEAR 5 (Papier);-13472.0;8756.0;-30956.0;-3936.0;8148.0;23032.0;1181043
20;Semih;GEAR 5 (Papier);-19096.0;20496.0;31516.0;-3888.0;18658.0;-1773.0;1181147
21;Semih;GEAR 5 (Papier);-22116.0;596.0;-14708.0;-3952.0;727.0;-1517.0;1181250
22;Semih;GEAR 5 (Papier);-17572.0;-2476.0;-368.0;-3920.0;-7523.0;92.0;1181354
23;Semih;GEAR 5 (Papier);-11956.0;-2132.0;-592.0;-3920.0;-2023.0;1279.0;1181457
24;Semih;GEAR 5 (Papier);-15236.0;-1684.0;-512.0;-3952.0;-1984.0;485.0;1181560
25;Semih;GEAR 5 (Papier);-17288.0;-2084.0;5736.0;-3920.0;-1110.0;-2653.0;1181663
26;Semih;GEAR 5 (Papier);-17664.0;92.0;4776.0;-3920.0;-5386.0;-9964.0;1181766
27;Semih;GEAR 5 (Papier);-14568.0;-9316.0;-1044.0;-3920.0;-4801.0;-1783.0;1181870
28;Semih;GEAR 5 (Papier);-13000.0;-5816.0;10448.0;-3936.0;2052.0;-841.0;1181973
29;Semih;GEAR 5 (Papier);-15324.0;-3768.0;3768.0;-3904.0;249.0;916.0;1182077
30;Semih;GEAR 5 (Papier);-14728.0;-3844.0;5660.0;-3920.0;1071.0;153.0;1182179
31;Semih;GEAR 5 (Papier);-12324.0;-3760.0;3720.0;-3920.0;1070.0;-410.0;1182283
32;Semih;GEAR 5 (Papier);-15240.0;-4072.0;4396.0;-3952.0;-65.0;1640.0;1182386
33;Semih;GEAR 5 (Papier);-13044.0;-3764.0;7160.0;-3920.0;-213.0;-268.0;1182489
34;Semih;GEAR 5 (Papier);-13352.0;-3192.0;5396.0;-3952.0;-212.0;4.0;1182593
35;Semih;GEAR 5 (Papier);-13456.0;-5048.0;5740.0;-3920.0;-1780.0;-372.0;1182695
36;Semih;GEAR 5 (Papier);-11440.0;-3596.0;2980.0;-3920.0;1070.0;-2506.0;1182799
37;Semih;GEAR 5 (Papier);-13648.0;-5400.0;6560.0;-3952.0;-1987.0;-1459.0;1182902
38;Semih;GEAR 5 (Papier);-10728.0;-4256.0;8544.0;-3936.0;655.0;-2970.0;1183005
39;Semih;GEAR 5 (Papier);-12364.0;-4252.0;6336.0;-3904.0;-1192.0;-1497.0;1183109
40;Semih;GEAR 5 (Papier);-12044.0;-4372.0;10284.0;-3904.0;-1021.0;-644.0;1183212
41;Semih;GEAR 5 (Papier);-13256.0;-3512.0;10748.0;-3920.0;-8.0;-926.0;1183315
42;Semih;GEAR 5 (Papier);-13052.0;-4072.0;9296.0;-3936.0;-1682.0;-1329.0;1183418
43;Semih;GEAR 5 (Papier);-12108.0;-4288.0;5968.0;-3952.0;-950.0;-3286.0;1183522
