id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Semih;sues (Schere);15492.0;-4204.0;-4428.0;-4016.0;-221.0;528.0;768208
1;Semih;sues (Schere);17080.0;-3464.0;-5996.0;-4032.0;-131.0;537.0;768310
2;Semih;sues (Schere);15132.0;-3816.0;-5040.0;-4016.0;-68.0;565.0;768413
3;Semih;sues (Schere);15752.0;-3412.0;-5524.0;-3984.0;-724.0;-337.0;768517
4;Semih;sues (Schere);15152.0;-4112.0;-4092.0;-4032.0;483.0;997.0;768620
5;Semih;sues (Schere);17828.0;-5084.0;-6400.0;-4016.0;354.0;1799.0;768723
6;Semih;sues (Schere);24776.0;-7268.0;3984.0;-4000.0;4607.0;9851.0;768826
7;Semih;sues (Schere);32767.0;-4464.0;-5076.0;-4032.0;-5.0;8971.0;768930
8;Semih;sues (Schere);24544.0;-1288.0;-3472.0;-4016.0;-161.0;6531.0;769033
9;Semih;sues (Schere);9920.0;-1664.0;-2200.0;-4000.0;-3958.0;3263.0;769135
10;Semih;sues (Schere);-6008.0;-6540.0;-3104.0;-4000.0;-4198.0;-655.0;769239
11;Semih;sues (Schere);-1296.0;-9676.0;4476.0;-4016.0;-487.0;341.0;769342
12;Semih;sues (Schere);1576.0;-10196.0;4000.0;-4032.0;-1792.0;-748.0;769446
13;Semih;sues (Schere);3716.0;-9848.0;-184.0;-4016.0;-137.0;1694.0;769548
14;Semih;sues (Schere);9272.0;-10072.0;3456.0;-4000.0;-4944.0;-1462.0;769651
15;Semih;sues (Schere);16252.0;-8376.0;-324.0;-4000.0;-10147.0;-1478.0;769755
16;Semih;sues (Schere);19620.0;-8412.0;-8036.0;-4000.0;-10229.0;-1024.0;769858
17;Semih;sues (Schere);25504.0;-9784.0;-7132.0;-4016.0;-5656.0;-143.0;769962
18;Semih;sues (Schere);21492.0;-9816.0;-11212.0;-3984.0;662.0;170.0;770064
19;Semih;sues (Schere);16900.0;-7460.0;-15456.0;-4000.0;7871.0;-1196.0;770168
20;Semih;sues (Schere);12200.0;-4976.0;-11624.0;-4032.0;17704.0;1610.0;770271
21;Semih;sues (Schere);15520.0;-3192.0;-5248.0;-3968.0;19901.0;289.0;770374
22;Semih;sues (Schere);10624.0;-912.0;6648.0;-4000.0;17787.0;981.0;770478
23;Semih;sues (Schere);18096.0;-500.0;7800.0;-4032.0;11570.0;-1579.0;770580
24;Semih;sues (Schere);16776.0;-2984.0;9156.0;-4000.0;1289.0;-3307.0;770684
