id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Vaios;Annaniiiii (Stein);14808.0;-8408.0;-3908.0;-4016.0;-68.0;-28.0;168860
1;Vaios;Annaniiiii (Stein);15692.0;-8220.0;-4888.0;-4032.0;170.0;535.0;168962
2;Vaios;Annaniiiii (Stein);15020.0;-8188.0;-3632.0;-4032.0;90.0;-152.0;169066
3;Vaios;Annaniiiii (Stein);14760.0;-8340.0;-3416.0;-4016.0;-485.0;847.0;169169
4;Vaios;Annaniiiii (Stein);14168.0;-8424.0;-4752.0;-4032.0;-796.0;-362.0;169273
5;Vaios;Annaniiiii (Stein);14504.0;-8304.0;-4096.0;-4048.0;133.0;381.0;169375
6;Vaios;Annaniiiii (Stein);15196.0;-8632.0;-3516.0;-4032.0;149.0;253.0;169478
7;Vaios;Annaniiiii (Stein);15620.0;-8940.0;-3400.0;-4016.0;741.0;251.0;169582
8;Vaios;Annaniiiii (Stein);16584.0;-9656.0;-3656.0;-4064.0;397.0;245.0;169685
9;Vaios;Annaniiiii (Stein);15872.0;-10320.0;-2520.0;-4048.0;1130.0;-648.0;169788
10;Vaios;Annaniiiii (Stein);2436.0;-7916.0;-2056.0;-4032.0;730.0;-8697.0;169891
11;Vaios;Annaniiiii (Stein);4960.0;-4304.0;5468.0;-4048.0;-3270.0;-8348.0;169994
12;Vaios;Annaniiiii (Stein);19116.0;-2428.0;3060.0;-4032.0;-19313.0;-7296.0;170098
13;Vaios;Annaniiiii (Stein);32767.0;-724.0;-14324.0;-4000.0;-22397.0;-455.0;170200
14;Vaios;Annaniiiii (Stein);32767.0;2500.0;-21816.0;-4016.0;-14395.0;2734.0;170304
15;Vaios;Annaniiiii (Stein);8592.0;60.0;-22552.0;-4016.0;2633.0;3675.0;170407
16;Vaios;Annaniiiii (Stein);-1188.0;-5160.0;-13376.0;-4000.0;8358.0;-3112.0;170511
17;Vaios;Annaniiiii (Stein);-7456.0;-6924.0;-3448.0;-4016.0;5569.0;-2570.0;170614
18;Vaios;Annaniiiii (Stein);-4368.0;-876.0;-1588.0;-4016.0;6814.0;-3112.0;170716
19;Vaios;Annaniiiii (Stein);18092.0;5296.0;-11452.0;-4032.0;8808.0;1843.0;170820
20;Vaios;Annaniiiii (Stein);32767.0;6596.0;-16636.0;-4048.0;25238.0;-1922.0;170923
21;Vaios;Annaniiiii (Stein);32767.0;7992.0;-4132.0;-4048.0;32767.0;-8006.0;171027
22;Vaios;Annaniiiii (Stein);15524.0;6504.0;9404.0;-4032.0;8560.0;15893.0;171130
23;Vaios;Annaniiiii (Stein);-12436.0;-3468.0;8088.0;-4032.0;-7894.0;16170.0;171233
24;Vaios;Annaniiiii (Stein);-14132.0;-6720.0;1196.0;-4016.0;-11131.0;16608.0;171336
25;Vaios;Annaniiiii (Stein);-14764.0;-7664.0;-1580.0;-4048.0;-11297.0;16176.0;171439
26;Vaios;Annaniiiii (Stein);-16640.0;-2956.0;-6956.0;-4016.0;-5903.0;13165.0;171543
27;Vaios;Annaniiiii (Stein);-16400.0;20364.0;-10060.0;-4016.0;18625.0;12035.0;171646
28;Vaios;Annaniiiii (Stein);32767.0;5116.0;-1408.0;-4048.0;330.0;11197.0;171750
29;Vaios;Annaniiiii (Stein);32767.0;-1144.0;-7632.0;-4032.0;299.0;-8608.0;171852
30;Vaios;Annaniiiii (Stein);17076.0;-3912.0;-3604.0;-4048.0;468.0;-2053.0;171955
31;Vaios;Annaniiiii (Stein);15300.0;-2828.0;-2604.0;-4048.0;166.0;-391.0;172059
32;Vaios;Annaniiiii (Stein);15868.0;-3072.0;-3956.0;-4032.0;-840.0;-2192.0;172162
33;Vaios;Annaniiiii (Stein);17132.0;-3584.0;-2040.0;-4016.0;223.0;790.0;172265
34;Vaios;Annaniiiii (Stein);16048.0;-2780.0;-5912.0;-4000.0;-444.0;234.0;172368
35;Vaios;Annaniiiii (Stein);16436.0;-3472.0;-3232.0;-4016.0;-317.0;112.0;172472
36;Vaios;Annaniiiii (Stein);15484.0;-3644.0;-4572.0;-4000.0;263.0;871.0;172575
