id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Vaios;GEAR 5 (Papier);6820.0;-16304.0;-4836.0;-3904.0;-1044.0;284.0;1446671
1;Vaios;GEAR 5 (Papier);6276.0;-16512.0;-3892.0;-3872.0;-84.0;444.0;1446775
2;Vaios;GEAR 5 (Papier);4904.0;-16208.0;-1784.0;-3904.0;-153.0;19.0;1446878
3;Vaios;GEAR 5 (Papier);4168.0;-16652.0;-3620.0;-3888.0;-168.0;-361.0;1446981
4;Vaios;GEAR 5 (Papier);5880.0;-16208.0;-3232.0;-3888.0;-186.0;123.0;1447084
5;Vaios;GEAR 5 (Papier);5196.0;-16316.0;-3128.0;-3872.0;-278.0;535.0;1447187
6;Vaios;GEAR 5 (Papier);6412.0;-16080.0;-5320.0;-3888.0;13.0;398.0;1447291
7;Vaios;GEAR 5 (Papier);24708.0;-5072.0;-1972.0;-3904.0;3599.0;-14478.0;1447394
8;Vaios;GEAR 5 (Papier);20216.0;11116.0;9092.0;-3904.0;4429.0;-8256.0;1447497
9;Vaios;GEAR 5 (Papier);-32768.0;17752.0;-14828.0;-3872.0;-4751.0;4927.0;1447600
10;Vaios;GEAR 5 (Papier);-32768.0;3672.0;-15204.0;-3888.0;1506.0;-1972.0;1447703
11;Vaios;GEAR 5 (Papier);-20868.0;-8032.0;4516.0;-3888.0;5685.0;2879.0;1447807
12;Vaios;GEAR 5 (Papier);-19324.0;-26160.0;1928.0;-3920.0;1056.0;7906.0;1447910
13;Vaios;GEAR 5 (Papier);-24436.0;-18468.0;14668.0;-3872.0;6979.0;-9511.0;1448014
14;Vaios;GEAR 5 (Papier);-12996.0;-7004.0;16444.0;-3888.0;6431.0;1242.0;1448117
15;Vaios;GEAR 5 (Papier);-17096.0;32767.0;-32768.0;-3888.0;26340.0;25724.0;1448220
16;Vaios;GEAR 5 (Papier);-12752.0;32767.0;-30012.0;-3904.0;-30861.0;14101.0;1448323
17;Vaios;GEAR 5 (Papier);-988.0;-328.0;-4000.0;-3888.0;-2346.0;719.0;1448426
18;Vaios;GEAR 5 (Papier);-23776.0;-26536.0;2608.0;-3904.0;-361.0;-11077.0;1448530
19;Vaios;GEAR 5 (Papier);-25628.0;-28608.0;-17000.0;-3904.0;-93.0;-247.0;1448633
20;Vaios;GEAR 5 (Papier);-5460.0;-15020.0;-12156.0;-3888.0;-1842.0;-3672.0;1448737
21;Vaios;GEAR 5 (Papier);-32768.0;19624.0;14576.0;-3888.0;4723.0;6156.0;1448840
22;Vaios;GEAR 5 (Papier);-20772.0;14544.0;32767.0;-3856.0;-8989.0;3540.0;1448943
23;Vaios;GEAR 5 (Papier);-15088.0;1204.0;-4080.0;-3888.0;3153.0;-553.0;1449046
