id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Vaios;Malaka (Schere);16552.0;336.0;-4068.0;-4928.0;-77.0;99.0;877767
1;Vaios;Malaka (Schere);16276.0;260.0;-4692.0;-4944.0;-263.0;-181.0;877870
2;Vaios;Malaka (Schere);16252.0;344.0;-4208.0;-4912.0;-262.0;-44.0;877973
3;Vaios;Malaka (Schere);16352.0;208.0;-4712.0;-4928.0;9.0;199.0;878076
4;Vaios;Malaka (Schere);16612.0;228.0;-4932.0;-4896.0;-613.0;-103.0;878180
5;Vaios;Malaka (Schere);16420.0;292.0;-4440.0;-4944.0;-504.0;-49.0;878282
6;Vaios;Malaka (Schere);16492.0;424.0;-4356.0;-4928.0;-317.0;105.0;878385
7;Vaios;Malaka (Schere);16896.0;300.0;-4048.0;-4912.0;-423.0;532.0;878489
8;Vaios;Malaka (Schere);17284.0;120.0;-4384.0;-4912.0;-1125.0;938.0;878592
9;Vaios;Malaka (Schere);13856.0;-680.0;524.0;-4896.0;-1315.0;-66.0;878695
10;Vaios;Malaka (Schere);32767.0;1036.0;-15968.0;-4912.0;-1607.0;-1843.0;878798
11;Vaios;Malaka (Schere);22208.0;-344.0;432.0;-4944.0;1917.0;1942.0;878902
12;Vaios;Malaka (Schere);19416.0;-424.0;-2432.0;-4912.0;921.0;-462.0;879004
13;Vaios;Malaka (Schere);10936.0;-1596.0;-5120.0;-4928.0;368.0;-2077.0;879107
14;Vaios;Malaka (Schere);10088.0;-4580.0;-3868.0;-4928.0;1850.0;-1642.0;879211
15;Vaios;Malaka (Schere);6316.0;-7460.0;-3472.0;-4912.0;2771.0;-1193.0;879314
16;Vaios;Malaka (Schere);8168.0;-9208.0;-1456.0;-4928.0;1516.0;-139.0;879418
17;Vaios;Malaka (Schere);7864.0;-7796.0;1604.0;-4880.0;-1804.0;925.0;879520
18;Vaios;Malaka (Schere);8516.0;-7464.0;2188.0;-4928.0;-5983.0;1669.0;879623
19;Vaios;Malaka (Schere);14460.0;-6280.0;-700.0;-4912.0;-9023.0;4599.0;879727
20;Vaios;Malaka (Schere);23288.0;-2896.0;-7064.0;-4944.0;-10116.0;2799.0;879830
21;Vaios;Malaka (Schere);23004.0;-4900.0;-8236.0;-4928.0;-6259.0;-297.0;879933
22;Vaios;Malaka (Schere);18564.0;-3500.0;-10452.0;-4880.0;-3409.0;-200.0;880036
23;Vaios;Malaka (Schere);18128.0;-2968.0;-9816.0;-4912.0;-894.0;-1253.0;880140
24;Vaios;Malaka (Schere);16264.0;-1844.0;-12280.0;-4896.0;2922.0;-2502.0;880243
25;Vaios;Malaka (Schere);16660.0;-2012.0;-9300.0;-4912.0;8801.0;-1959.0;880346
26;Vaios;Malaka (Schere);15788.0;-620.0;-8272.0;-4912.0;9445.0;-1135.0;880449
27;Vaios;Malaka (Schere);18508.0;-288.0;-1956.0;-4896.0;10831.0;314.0;880552
28;Vaios;Malaka (Schere);16376.0;-1756.0;-516.0;-4912.0;7123.0;-2429.0;880656
29;Vaios;Malaka (Schere);16632.0;-2844.0;1312.0;-4896.0;2526.0;-1733.0;880759
30;Vaios;Malaka (Schere);15320.0;-3000.0;-1536.0;-4880.0;-1172.0;79.0;880861
31;Vaios;Malaka (Schere);17720.0;-2040.0;-4680.0;-4944.0;-2708.0;-291.0;880965
32;Vaios;Malaka (Schere);18664.0;-1812.0;-6624.0;-4928.0;-1512.0;-958.0;881068
33;Vaios;Malaka (Schere);15276.0;-1944.0;-6332.0;-4912.0;-780.0;-466.0;881172
34;Vaios;Malaka (Schere);15720.0;-1896.0;-5992.0;-4896.0;-1086.0;-380.0;881274
35;Vaios;Malaka (Schere);16424.0;-2228.0;-5104.0;-4912.0;-561.0;276.0;881378
36;Vaios;Malaka (Schere);15628.0;-2028.0;-7312.0;-4912.0;-578.0;-125.0;881481
37;Vaios;Malaka (Schere);16864.0;-2324.0;-4532.0;-4896.0;-146.0;345.0;881584
38;Vaios;Malaka (Schere);16564.0;-1980.0;-6708.0;-4912.0;-717.0;-303.0;881688
