id;wizardName;spellName;accX;accY;accZ;gyroX;gyroY;gyroZ;time
0;Wizard #1;Expelliarmus;2508.0;920.0;13140.0;-4256.0;-308.0;1335.0;0
1;Wizard #1;Expelliarmus;2232.0;964.0;13808.0;-4272.0;-295.0;1403.0;103
2;Wizard #1;Expelliarmus;2864.0;1748.0;14868.0;-4272.0;1442.0;375.0;206
3;Wizard #1;Expelliarmus;4072.0;1856.0;14508.0;-4288.0;55.0;1417.0;309
4;Wizard #1;Expelliarmus;3572.0;932.0;17736.0;-4272.0;-864.0;4859.0;412
5;Wizard #1;Expelliarmus;2812.0;1764.0;29612.0;-4288.0;-8963.0;4941.0;515
6;Wizard #1;Expelliarmus;-1368.0;2300.0;22444.0;-4288.0;-19366.0;4697.0;618
7;Wizard #1;Expelliarmus;-3296.0;-1708.0;12148.0;-4288.0;-18912.0;2040.0;722
8;Wizard #1;Expelliarmus;2820.0;-5076.0;10336.0;-4256.0;-15871.0;1139.0;824
9;Wizard #1;Expelliarmus;-4584.0;-8332.0;2464.0;-4240.0;-15844.0;-393.0;927
10;Wizard #1;Expelliarmus;-504.0;-9312.0;-8412.0;-4304.0;-7897.0;651.0;1031
11;Wizard #1;Expelliarmus;-512.0;-11292.0;-196.0;-4288.0;1647.0;-656.0;1133
12;Wizard #1;Expelliarmus;-4300.0;-13060.0;5680.0;-4256.0;4146.0;-1389.0;1237
13;Wizard #1;Expelliarmus;-3224.0;-10660.0;4632.0;-4272.0;4862.0;-900.0;1340
14;Wizard #1;Expelliarmus;-6536.0;-7220.0;-1620.0;-4240.0;12760.0;-1155.0;1443
15;Wizard #1;Expelliarmus;-6584.0;-2456.0;4632.0;-4272.0;19595.0;-2058.0;1546
16;Wizard #1;Expelliarmus;-2956.0;2308.0;22584.0;-4240.0;22759.0;-1775.0;1649
17;Wizard #1;Expelliarmus;-6452.0;3320.0;23316.0;-4256.0;10783.0;1983.0;1752
18;Wizard #1;Expelliarmus;6012.0;7316.0;20664.0;-4288.0;6737.0;-1298.0;1855
19;Wizard #1;Expelliarmus;13364.0;5528.0;19404.0;-4256.0;1895.0;-1457.0;1959
20;Wizard #1;Expelliarmus;2196.0;1920.0;16500.0;-4256.0;-1484.0;-1600.0;2061
21;Wizard #1;Expelliarmus;1272.0;1416.0;14124.0;-4256.0;-659.0;-768.0;2164
22;Wizard #1;Expelliarmus;1624.0;1616.0;14544.0;-4256.0;-1171.0;-578.0;2268
23;Wizard #1;Expelliarmus;4916.0;2332.0;14700.0;-4272.0;-1741.0;586.0;2370
24;Wizard #1;Expelliarmus;12780.0;5120.0;14072.0;-4272.0;-4781.0;595.0;2474
25;Wizard #1;Expelliarmus;6668.0;6100.0;11296.0;-4272.0;-2315.0;-3508.0;2577
26;Wizard #1;Expelliarmus;4356.0;7152.0;14152.0;-4240.0;-1877.0;-1792.0;2681
27;Wizard #1;Expelliarmus;1988.0;7040.0;14288.0;-4256.0;5467.0;-12689.0;2783
28;Wizard #1;Expelliarmus;-3180.0;3576.0;11064.0;-4288.0;1752.0;-3246.0;2886
29;Wizard #1;Expelliarmus;-9664.0;876.0;16620.0;-4256.0;1742.0;1964.0;2990
30;Wizard #1;Expelliarmus;-3232.0;260.0;17228.0;-4288.0;-485.0;2158.0;3092
31;Wizard #1;Expelliarmus;-1660.0;-1044.0;14660.0;-4288.0;-657.0;1757.0;3196
32;Wizard #1;Expelliarmus;1552.0;-824.0;14144.0;-4320.0;-362.0;29.0;3299
33;Wizard #1;Expelliarmus;2092.0;-1048.0;13696.0;-4240.0;-750.0;-274.0;3403
